station,sample,split,timestamp,value,hasrain,text
USW00012839,27,input,2023-06-13 10:00:00,26.46666666666667,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 11:00:00,26.833333333333332,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 12:00:00,27.2,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 13:00:00,28.7,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 14:00:00,30.2,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 15:00:00,31.7,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 16:00:00,32.06666666666666,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 17:00:00,32.43333333333333,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 18:00:00,32.8,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 19:00:00,32.96666666666666,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
USW00012839,27,input,2023-06-13 20:00:00,33.13333333333333,True,"The following events were reported: Flash Flood, Flood, Thunderstorm Wind. These occurred near station USW00012839, approximately 6.9317 km away, between 2023-06-19 13:00:00 and 2023-06-19 16:30:00. The flood was caused by Heavy Rain. Thankfully, no injuries or fatalities were reported. No significant property or crop damage was reported. Episode Narrative: A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. A warm and moist S to SW wind flow combined with low pressure aloft over the SE United States led to the development of afternoon showers and thunderstorms across SE Florida, some of which were severe over Miami-Dade County. Event Narrative: Off duty NWS Employee reports that W Flagler Street is almost impassable between NW 82nd Avenue and NW 84th Avenue with multiple stalled cars along the street. Other reports indicated southbound lanes of the Palmetto Expressway flooded, as well as the exit ramp from State Road 836 (Dolphin Expressway) to the Palmetto Expressway. Rainfall estimates of 4 to 5 inches in the area during the time of the flooding. Social media report of street flooding near the intersection of Collins Avenue and 17th |Street in Miami Beach. Photo shows water above the curb and vehicles favoring the |center lanes. Report also mentions additional flooding on Collins Avenue between 22nd to 23rd street. Social media report with photos of a backyard completely flooded with several |inches of standing water. ASOS station KMIA at Miami International Airport reported a thunderstorm wind gust            of 59mph as a severe thunderstorm moved through the area. Social media video showing a large tree down partially blocking traffic on North Kendall |Drive near SW 112th avenue. This damage is associated with a severe thunderstorm that |moved through the area with winds estimated near 60 mph. Large tree branches snapped. Time estimated from radar. Power lines downed and large tree limbs snapped."
